2010-09-27 01:03:30,152 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47015||||41|1|132.249.69.238
2010-09-27 01:03:30,667 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47016||||||132.249.69.238
2010-09-27 01:03:30,667 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47016||||||132.249.69.238
2010-09-27 01:03:30,699 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47016||||40|1|132.249.69.238
2010-09-27 01:03:30,699 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47016||||40|1|132.249.69.238
2010-09-27 01:03:31,230 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47017||||||132.249.69.238
2010-09-27 01:03:31,230 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47017||||||132.249.69.238
2010-09-27 01:03:31,261 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47017||||40|1|132.249.69.238
2010-09-27 01:03:31,261 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47017||||40|1|132.249.69.238
2010-09-27 01:03:31,777 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47018||||||132.249.69.238
2010-09-27 01:03:31,777 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47018||||||132.249.69.238
2010-09-27 01:03:31,824 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47018||||40|1|132.249.69.238
2010-09-27 01:03:31,824 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47018||||40|1|132.249.69.238
2010-09-27 01:03:32,339 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47019||||||132.249.69.238
2010-09-27 01:03:32,339 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47019||||||132.249.69.238
2010-09-27 01:03:32,386 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47019||||40|1|132.249.69.238
2010-09-27 01:03:32,386 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47019||||40|1|132.249.69.238
2010-09-27 01:03:32,902 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47020||||||132.249.69.238
2010-09-27 01:03:32,902 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47020||||||132.249.69.238
2010-09-27 01:03:32,949 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47020||||40|1|132.249.69.238
2010-09-27 01:03:32,949 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47020||||40|1|132.249.69.238
2010-09-27 01:03:37,980 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47021||||||132.249.69.238
2010-09-27 01:03:37,980 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47021||||||132.249.69.238
2010-09-27 01:03:38,011 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47021||||40|1|132.249.69.238
2010-09-27 01:03:38,011 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47021||||40|1|132.249.69.238
2010-09-27 01:03:38,574 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47022||||||132.249.69.238
2010-09-27 01:03:38,574 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47022||||||132.249.69.238
